key,en,fr,nl
"Discover how 3rdHand connects artists with art lovers in a seamless digital marketplace. Whether you're creating or collecting, we make it simple and secure.",Discover how 3rdHand connects artists with art lovers in a seamless digital marketplace. Whether you're creating or collecting, we make it simple and secure.,,
"Discover talented artists from around the world showcasing their unique work.",Discover talented artists from around the world showcasing their unique work.,,
"Discover unique artworks from talented artists",Discover unique artworks from talented artists,,
"Discover unique artworks from talented artists around the world. Build your digital art collection.",Discover unique artworks from talented artists around the world. Build your digital art collection.,,
"Don't have an account?",Don't have an account?,,
"Download Receipt",Download Receipt,,
"Edit",Edit,,
"Edit Artwork",Edit Artwork,,
"Edit Profile",Edit Profile,,
"Edition:",Edition:,,
"Email",Email,,
"Email address",Email address,,
"Email cannot be changed",Email cannot be changed,,
"Email Verification",Email Verification,,
"Enter 6-digit code",Enter 6-digit code,,
"Enter current password",Enter current password,,
"Enter new password",Enter new password,,
"Enter price",Enter price,,
"Enter rejection reason (minimum 10 characters)...",Enter rejection reason (minimum 10 characters)...,,
"Enter the title of your artwork",Enter the title of your artwork,,
"Enter your email address and we'll send you a link to reset your password",Enter your email address and we'll send you a link to reset your password,,
"Enter your email and password to access your account",Enter your email and password to access your account,,
"Enter your information to create an account",Enter your information to create an account,,
"Enter your new password",Enter your new password,,
"Enter your new password below to complete the reset process",Enter your new password below to complete the reset process,,
"Enter your password",Enter your password,,
"Enter your username",Enter your username,,
"Error Loading Artwork Listings",Error Loading Artwork Listings,,
"Error Loading Artworks",Error Loading Artworks,,
"Error Loading Pending Artworks",Error Loading Pending Artworks,,
"Error Loading Transaction History",Error Loading Transaction History,,
"Error Loading Transactions",Error Loading Transactions,,
"Error Loading Users",Error Loading Users,,
"Every artwork is reviewed to ensure the highest quality standards.",Every artwork is reviewed to ensure the highest quality standards.,,
"Explore Artworks",Explore Artworks,,
"Facebook",Facebook,,
"Failed",Failed,,
"Failed to load analytics. Please try again.",Failed to load analytics. Please try again.,,
"Failed to load conversations. Please try again.",Failed to load conversations. Please try again.,,
"Failed to load dashboard data",Failed to load dashboard data,,
"Failed to load messages. Please try again.",Failed to load messages. Please try again.,,
"Fair Pricing",Fair Pricing,,
"Favorites",Favorites,,
"Featured Artists",Featured Artists,,
"Featured Artworks",Featured Artworks,,
"Featured listings",Featured listings,,
"Fetching artwork details...",Fetching artwork details...,,
"Fetching your artwork collection...",Fetching your artwork collection...,,
"Fetching your profile data...",Fetching your profile data...,,
"Fill in the details about your artwork. Your listing will be submitted for admin review.",Fill in the details about your artwork. Your listing will be submitted for admin review.,,
"Filter by specialty",Filter by specialty,,
"Filters",Filters,,
"Finalize the transaction directly with the artist and receive your unique artwork.",Finalize the transaction directly with the artist and receive your unique artwork.,,
"Flag Information",Flag Information,,
"Flag Message",Flag Message,,
"Flag Reason:",Flag Reason:,,
"Flagged",Flagged,,
"Flagged Messages",Flagged Messages,,
"Follow artists",Follow artists,,
"followers",followers,,
"Followers",Followers,,
"For Art Lovers",For Art Lovers,,
"For Artists",For Artists,,
"Forgot password?",Forgot password?,,
"Forgot your password?",Forgot your password?,,
"Free registration",Free registration,,
"From listing fees & commissions",From listing fees & commissions,,
"From:",From:,,
"General",General,,
"General Information",General Information,,
"Get Started",Get Started,,
"Go back to registration",Go back to registration,,
"Go to Dashboard",Go to Dashboard,,
"Go to Home",Go to Home,,
"Go to Login",Go to Login,,
"Height",Height,,
"High-quality images",High-quality images,,
"High-res downloads",High-res downloads,,
"Highest Rated",Highest Rated,,
"History",History,,
"How It Works",How It Works,,
"https://facebook.com/username",https://facebook.com/username,,
"https://instagram.com/username",https://instagram.com/username,,
"https://twitter.com/username",https://twitter.com/username,,
"https://yourwebsite.com",https://yourwebsite.com,,
"I'm a Buyer",I'm a Buyer,,
"I'm an Artist",I'm an Artist,,
"If you don't see the email in your inbox, please check your spam folder.",If you don't see the email in your inbox, please check your spam folder.,,
"Image",Image,,
"Images * (Max 5 images, 10MB each)",Images * (Max 5 images, 10MB each),,
"in",in,,
"Inappropriate content detected...",Inappropriate content detected...,,
"Instagram",Instagram,,
"Instant delivery",Instant delivery,,
"Instant downloads and payments. No waiting, no delays, just pure efficiency.",Instant downloads and payments. No waiting, no delays, just pure efficiency.,,
"Instant payments",Instant payments,,
"Interact with artists and fellow art enthusiasts",Interact with artists and fellow art enthusiasts,,
"Invalid Reset Link",Invalid Reset Link,,
"Issued:",Issued:,,
"John Doe",John Doe,,
"Join a vibrant community of artists and art lovers from around the world.",Join a vibrant community of artists and art lovers from around the world.,,
"Join thousands of artists and art lovers who have already discovered the future of digital art.",Join thousands of artists and art lovers who have already discovered the future of digital art.,,
"Joined",Joined,,
"Language",Language,,
"Last Active",Last Active,,
"Latest",Latest,,
"Legal",Legal,,
"Lifetime access",Lifetime access,,
"Lightning Fast",Lightning Fast,,
"likes",likes,,
"Listing Fee",Listing Fee,,
"Listing Fees",Listing Fees,,
"Listings (",Listings (,,
"Load Listings",Load Listings,,
"Load Transactions",Load Transactions,,
"Loading admin dashboard...",Loading admin dashboard...,,
"Loading artist details...",Loading artist details...,,
"Loading artists...",Loading artists...,,
"Loading Artwork",Loading Artwork,,
"Loading artworks...",Loading artworks...,,
"Loading Profile",Loading Profile,,
"Loading Your Artworks",Loading Your Artworks,,
"Loading...",Loading...,,
"Login",Login,,
"Low commission",Low commission,,
"Low commission rates that let artists keep more of what they earn.",Low commission rates that let artists keep more of what they earn.,,
"Make changes to your artwork information.",Make changes to your artwork information.,,
"Manage the 3rdHand art marketplace",Manage the 3rdHand art marketplace,,
"Manage user accounts and permissions.",Manage user accounts and permissions.,,
"Manage your account information and preferences.",Manage your account information and preferences.,,
"Manage your account security",Manage your account security,,
"Manage your account settings and public profile",Manage your account settings and public profile,,
"Manage your artwork collection",Manage your artwork collection,,
"Manage your artwork listings and track their status.",Manage your artwork listings and track their status.,,
"Medium",Medium,,
"Medium:",Medium:,,
"Member since",Member since,,
"Member Since",Member Since,,
"Menu",Menu,,
"Message",Message,,
"Message Analytics",Message Analytics,,
"Message Artist",Message Artist,,
"Message artists",Message artists,,
"Message Content",Message Content,,
"Message Details",Message Details,,
"Message Management",Message Management,,
"messages",messages,,
"Messages",Messages,,
"Messages by User Role",Messages by User Role,,
"Messages that have been flagged for review. Take appropriate action on reported content.",Messages that have been flagged for review. Take appropriate action on reported content.,,
"Messages that require moderation attention.",Messages that require moderation attention.,,
"Messages Today",Messages Today,,
"Mixed Media",Mixed Media,,
"Monitor and moderate platform messages",Monitor and moderate platform messages,,
"Most Active Conversations",Most Active Conversations,,
"Most Sales",Most Sales,,
"My Artworks",My Artworks,,
"My Artworks (",My Artworks (,,
"My Profile",My Profile,,
"My Purchases",My Purchases,,
"Name A-Z",Name A-Z,,
"Navigate through the application",Navigate through the application,,
"New Artworks (Week)",New Artworks (Week),,
"New message from John",New message from John,,
"New Password",New Password,,
"New Users (Week)",New Users (Week),,
"Newest",Newest,,
"Newsletter",Newsletter,,
"Next",Next,,
"No activity data available",No activity data available,,
"No artists found",No artists found,,
"No artwork data available",No artwork data available,,
"No artwork listings found",No artwork listings found,,
"No artwork stats available",No artwork stats available,,
"No artworks found",No artworks found,,
"No artworks match your current filters.",No artworks match your current filters.,,
"No artworks yet",No artworks yet,,
"No data available",No data available,,
"No featured artworks available at the moment.",No featured artworks available at the moment.,,
"No flagged messages at the moment",No flagged messages at the moment,,
"No growth data available",No growth data available,,
"No messages found",No messages found,,
"No messages yet",No messages yet,,
"No ownership history available.",No ownership history available.,,
"No pending artwork approvals at the moment.",No pending artwork approvals at the moment.,,
"No provenance records available.",No provenance records available.,,
"No purchase data available",No purchase data available,,
"No purchases yet",No purchases yet,,
"No revenue data available",No revenue data available,,
"No sales data available",No sales data available,,
"No transactions found",No transactions found,,
"No transactions match your current filters.",No transactions match your current filters.,,
"No transactions yet",No transactions yet,,
"No user stats available",No user stats available,,
"No users found",No users found,,
"No users match your current filters.",No users match your current filters.,,
"Notifications",Notifications,,
"of",of,,
"Oil on Canvas",Oil on Canvas,,
"Oldest",Oldest,,
"On artwork purchases",On artwork purchases,,
"Online",Online,,
"Original",Original,,
"Original works only",Original works only,,
"Our dedicated support team is always here to help you succeed.",Our dedicated support team is always here to help you succeed.,,
"Our platform makes it easy for artists to sell their work and for buyers to discover unique pieces.",Our platform makes it easy for artists to sell their work and for buyers to discover unique pieces.,,
"Overview",Overview,,
"Owned",Owned,,
"Owned (",Owned (,,
"Owned by",Owned by,,
"Ownership Certificate",Ownership Certificate,,
"Ownership History",Ownership History,,
"participants",participants,,
"Password",Password,,
"Password must contain at least 8 characters with uppercase, lowercase, number, and special character.",Password must contain at least 8 characters with uppercase, lowercase, number, and special character.,,
"Password Reset Successful!",Password Reset Successful!,,
"Pastel",Pastel,,
"Payment received",Payment received,,
"Pencil Drawing",Pencil Drawing,,
"pending",pending,,
"Pending",Pending,,
"Pending (",Pending (,,
"Pending Approvals",Pending Approvals,,
"Pending Artwork Approvals",Pending Artwork Approvals,,
"Pending Reviews",Pending Reviews,,
"Photography",Photography,,
"Platform Growth",Platform Growth,,
"Platform messaging statistics and insights.",Platform messaging statistics and insights.,,
"Platform Revenue",Platform Revenue,,
"Please log in to access this page.",Please log in to access this page.,,
"Please log in to access your dashboard.",Please log in to access your dashboard.,,
"Please log in to view your purchases.",Please log in to view your purchases.,,
"Please provide a detailed reason for rejecting this artwork. This will be sent to the artist.",Please provide a detailed reason for rejecting this artwork. This will be sent to the artist.,,
"Please wait...",Please wait...,,
"Portfolio setup",Portfolio setup,,
"Portfolio Value",Portfolio Value,,
"Previous",Previous,,
"Price",Price,,
"Price (€) *",Price (€) *,,
"Price Range: €",Price Range: €,,
"Privacy Policy",Privacy Policy,,
"Profile",Profile,,
"Profile Information",Profile Information,,
"Profile Not Found",Profile Not Found,,
"Profile Settings",Profile Settings,,
"Provenance",Provenance,,
"Provenance & Traceability",Provenance & Traceability,,
"Purchase Analytics",Purchase Analytics,,
"Purchase completed on",Purchase completed on,,
"Purchase protection",Purchase protection,,
"Purchased on",Purchased on,,
"Purchases",Purchases,,
"Quality Assured",Quality Assured,,
"Quick Links",Quick Links,,
"Rating",Rating,,
"Ready to Get Started?",Ready to Get Started?,,
"Ready to join our community?",Ready to join our community?,,
"Receive payments instantly when your art sells",Receive payments instantly when your art sells,,
"Receiver",Receiver,,
"Recent Activity",Recent Activity,,
"Recent Flagged Messages",Recent Flagged Messages,,
"Recent Messages",Recent Messages,,
"Recently Sold",Recently Sold,,
"Recognition",Recognition,,
"Refresh",Refresh,,
"Refresh Data",Refresh Data,,
"Refunded",Refunded,,
"Register",Register,,
"Reject",Reject,,
"Reject Artwork",Reject Artwork,,
"Rejected",Rejected,,
"Remember your password?",Remember your password?,,
"Remove",Remove,,
"Request New Reset Link",Request New Reset Link,,
"Reset Your Password",Reset Your Password,,
"results",results,,
"Retry",Retry,,
"Revenue",Revenue,,
"Revenue Analytics",Revenue Analytics,,
"Review",Review,,
"Review and approve new artwork listings.",Review and approve new artwork listings.,,
"reviews",reviews,,
"Reviews",Reviews,,
"Reviews (",Reviews (,,
"reviews with an average rating of",reviews with an average rating of,,
"reviews)",reviews),,
"Role",Role,,
"Sale",Sale,,
"Sales (Week)",Sales (Week),,
"Sales Analytics",Sales Analytics,,
"sales completed",sales completed,,
"Sales Count",Sales Count,,
"Sales Revenue",Sales Revenue,,
"Sarah Williams",Sarah Williams,,
"Save Changes",Save Changes,,
"Save favorites",Save favorites,,
"Saved artworks",Saved artworks,,
"Sculpture",Sculpture,,
"Search",Search,,
"Search artists...",Search artists...,,
"Search artworks, artists, or tags...",Search artworks, artists, or tags...,,
"Search artworks...",Search artworks...,,
"Search conversations...",Search conversations...,,
"Search listings...",Search listings...,,
"Search messages...",Search messages...,,
"Search optimization",Search optimization,,
"Search purchases...",Search purchases...,,
"Search users...",Search users...,,
"Search: \"",Search: \",,
"Secure & Safe",Secure & Safe,,
"Secure payments",Secure payments,,
"Secure transactions",Secure transactions,,
"Security",Security,,
"Security Settings",Security Settings,,
"Select a conversation",Select a conversation,,
"Select medium",Select medium,,
"Select unit",Select unit,,
"Sell Your Art",Sell Your Art,,
"Sender",Sender,,
"Sent:",Sent:,,
"Set your price",Set your price,,
"Share your masterpieces with detailed descriptions",Share your masterpieces with detailed descriptions,,
"Showing",Showing,,
"Social",Social,,
"Social Links",Social Links,,
"Social sharing",Social sharing,,
"Sold",Sold,,
"Sold (",Sold (,,
"Sold to",Sold to,,
"Sort by",Sort by,,
"Sort By",Sort By,,
"Specialties",Specialties,,
"Specifications",Specifications,,
"star rating from",star rating from,,
"stars",stars,,
"Start by creating your first artwork listing.",Start by creating your first artwork listing.,,
"Start Exploring",Start Exploring,,
"Start exploring and purchase your first artwork!",Start exploring and purchase your first artwork!,,
"Start the conversation!",Start the conversation!,,
"Start Your Journey",Start Your Journey,,
"Status",Status,,
"Status:",Status:,,
"Submitted",Submitted,,
"Subscribe",Subscribe,,
"Subscribe to our newsletter for the latest updates.",Subscribe to our newsletter for the latest updates.,,
"Success",Success,,
"successful sales",successful sales,,
"Switch language",Switch language,,
"Tags",Tags,,
"Tell us about yourself...",Tell us about yourself...,,
"Terms of Service",Terms of Service,,
"The artwork you're trying to edit could not be found.",The artwork you're trying to edit could not be found.,,
"This artist hasn't published any artworks yet.",This artist hasn't published any artworks yet.,,
"This artwork comes with a certificate of authenticity and is in excellent condition, ready for display in your collection.",This artwork comes with a certificate of authenticity and is in excellent condition, ready for display in your collection.,,
"This is an original artwork",This is an original artwork,,
"This Month",This Month,,
"This password reset link is invalid or has expired.",This password reset link is invalid or has expired.,,
"This Week",This Week,,
"This Year",This Year,,
"Time",Time,,
"Title",Title,,
"Title *",Title *,,
"to",to,,
"Today",Today,,
"Total artwork value",Total artwork value,,
"Total Artworks",Total Artworks,,
"Total Earned",Total Earned,,
"Total Earnings",Total Earnings,,
"Total Likes",Total Likes,,
"Total Messages",Total Messages,,
"Total Purchases",Total Purchases,,
"Total Revenue",Total Revenue,,
"Total Sales",Total Sales,,
"Total Spent",Total Spent,,
"Total Transactions",Total Transactions,,
"Total Users",Total Users,,
"Track your artwork purchases and delivery status",Track your artwork purchases and delivery status,,
"Transaction History",Transaction History,,
"Transaction ID",Transaction ID,,
"Transaction ID:",Transaction ID:,,
"Transactions (",Transactions (,,
"Transform your passion into profit. Share your art with the world and build your artistic career.",Transform your passion into profit. Share your art with the world and build your artistic career.,,
"Try adjusting your search criteria or filters",Try adjusting your search criteria or filters,,
"Try adjusting your search or filters",Try adjusting your search or filters,,
"Try again",Try again,,
"Try Again",Try Again,,
"Twitter",Twitter,,
"Type",Type,,
"Type your message...",Type your message...,,
"Type:",Type:,,
"Unable to load profile data.",Unable to load profile data.,,
"Unflag",Unflag,,
"Unflag Message",Unflag Message,,
"Unit",Unit,,
"Unread messages",Unread messages,,
"Update Artwork Details",Update Artwork Details,,
"Update Password",Update Password,,
"Update your basic profile information",Update your basic profile information,,
"Updating...",Updating...,,
"User",User,,
"User Management",User Management,,
"User Statistics",User Statistics,,
"Username",Username,,
"Username cannot be changed",Username cannot be changed,,
"Users (",Users (,,
"Verification Code",Verification Code,,
"Verification Status",Verification Status,,
"Verified",Verified,,
"Verified artist",Verified artist,,
"Verified Artist",Verified Artist,,
"Verified Authentic",Verified Authentic,,
"Verified Users",Verified Users,,
"Verify Email",Verify Email,,
"Verify your email",Verify your email,,
"View",View,,
"View All Artists",View All Artists,,
"View All Artworks",View All Artworks,,
"View All Messages",View All Messages,,
"View all platform transactions and payments.",View all platform transactions and payments.,,
"View and manage all artwork listings on the platform.",View and manage all artwork listings on the platform.,,
"View Artwork",View Artwork,,
"View complete message information and moderation options",View complete message information and moderation options,,
"View Details",View Details,,
"View Full Profile",View Full Profile,,
"View Profile",View Profile,,
"Watercolor",Watercolor,,
"We provide the best platform for digital art transactions with cutting-edge features.",We provide the best platform for digital art transactions with cutting-edge features.,,
"We review each listing to ensure quality and authenticity before it goes live.",We review each listing to ensure quality and authenticity before it goes live.,,
"We've sent a 6-digit verification code to",We've sent a 6-digit verification code to,,
"We've sent a password reset link to",We've sent a password reset link to,,
"Website",Website,,
"Welcome back,",Welcome back,,,
"Whether you're an artist looking to showcase your work or a collector searching for unique pieces, 3rdHand is the perfect platform for you.",Whether you're an artist looking to showcase your work or a collector searching for unique pieces, 3rdHand is the perfect platform for you.,,
"Why Choose 3rdHand?",Why Choose 3rdHand?,,
"Width",Width,,
"Wrong email?",Wrong email?,,
"Year",Year,,
"Year created",Year created,,
"Year:",Year:,,
"You don't have permission to access the admin dashboard. This area is restricted to administrators only.",You don't have permission to access the admin dashboard. This area is restricted to administrators only.,,
"You don't have permission to edit this artwork.",You don't have permission to edit this artwork.,,
"You own this",You own this,,
"You will be redirected to your dashboard in a few seconds...",You will be redirected to your dashboard in a few seconds...,,
"Your art gets featured and reaches potential buyers",Your art gets featured and reaches potential buyers,,
"Your artwork was liked",Your artwork was liked,,
"Your email",Your email,,
"Your Gateway to Digital Art",Your Gateway to Digital Art,,
"Your password has been successfully reset and you are now logged in.",Your password has been successfully reset and you are now logged in.,,
"Your transactions are protected with bank-level security and encryption.",Your transactions are protected with bank-level security and encryption.,,
"your@email.com",your@email.com,,
